iter	Passed	Remaining
552	18750	15156
553	18788	15125
554	18819	15089
555	18850	15053
556	18881	15017
557	18916	14984
558	18953	14952
559	18985	14916
560	19015	14880
561	19046	14843
562	19076	14806
563	19106	14770
564	19139	14735
565	19170	14699
566	19200	14663
567	19235	14629
568	19280	14604
569	19321	14575
570	19352	14539
571	19382	14502
572	19413	14467
573	19444	14430
574	19474	14394
575	19505	14358
576	19539	14324
577	19569	14288
578	19604	14254
579	19648	14228
580	19686	14197
581	19721	14163
582	19752	14128
583	19783	14092
584	19813	14056
585	19845	14020
586	19876	13984
587	19912	13952
588	19951	13922
589	19993	13893
590	20025	13858
591	20057	13823
592	20088	13787
593	20118	13751
594	20150	13715
595	20180	13679
596	20210	13642
597	20240	13606
598	20277	13574
599	20320	13546
600	20363	13519
601	20398	13485
602	20430	13451
603	20462	13415
604	20494	13380
605	20526	13345
606	20556	13309
607	20588	13274
608	20620	13239
609	20651	13203
610	20682	13167
611	20713	13132
612	20754	13102
613	20790	13070
614	20831	13040
615	20870	13010
616	20904	12976
617	20934	12940
618	20965	12904
619	20996	12868
620	21025	12832
621	21056	12796
622	21086	12760
623	21116	12724
624	21148	12688
625	21181	12654
626	21221	12624
627	21256	12591
628	21298	12562
629	21333	12529
630	21365	12494
631	21396	12458
632	21427	12423
633	21458	12387
634	21488	12351
635	21519	12316
636	21534	12271
637	21565	12236
638	21598	12202
639	21637	12171
640	21679	12141
641	21718	12110
642	21751	12076
643	21782	12041
644	21813	12005
645	21844	11970
646	21874	11934
647	21913	11903
648	21953	11873
649	21985	11838
650	22016	11802
651	22046	11767
652	22076	11731
653	22107	11695
654	22137	11660
655	22168	11625
656	22199	11589
657	22232	11555
658	22271	11524
659	22312	11494
660	22351	11463
661	22383	11428
662	22415	11393
663	22446	11358
664	22476	11322
665	22507	11287
666	22537	11252
667	22569	11217
668	22602	11183
669	22641	11151
670	22679	11120
671	22718	11088
672	22752	11055
673	22789	11023
674	22821	10988
675	22853	10953
676	22886	10919
677	22924	10887
678	22957	10853
679	22989	10818
680	23021	10783
681	23052	10749
682	23084	10714
683	23116	10679
684	23148	10644
685	23180	10610
686	23212	10575
687	23250	10543
688	23288	10511
689	23331	10482
690	23368	10449
691	23403	10416
692	23436	10382
693	23467	10347
694	23499	10312
695	23531	10278
696	23564	10244
697	23596	10209
698	23628	10174
699	23660	10140
700	23697	10107
701	23736	10076
702	23781	10047
703	23821	10015
704	23856	9982
705	23889	9948
706	23922	9914
707	23955	9879
708	23989	9846
709	24021	9811
710	24053	9776
711	24086	9742
712	24119	9708
713	24152	9674
714	24191	9642
715	24238	9614
716	24280	9583
717	24314	9549
718	24345	9514
719	24376	9479
720	24408	9445
721	24439	9410
722	24471	9375
723	24503	9341
724	24533	9305
725	24565	9271
726	24597	9236
727	24629	9202
728	24676	9173
729	24719	9142
730	24755	9109
731	24788	9075
732	24805	9035
733	24835	9000
734	24870	8966
735	24907	8934
736	24939	8899
737	24971	8865
738	25002	8830
739	25034	8795
740	25065	8761
741	25097	8726
742	25128	8691
743	25159	8657
744	25198	8624
745	25241	8594
746	25285	8563
747	25320	8530
748	25355	8496
749	25390	8463
750	25423	8429
751	25455	8394
752	25486	8360
753	25517	8325
754	25550	8291
755	25581	8256
756	25613	8221
757	25647	8188
758	25680	8154
759	25713	8120
760	25753	8088
761	25797	8057
762	25842	8027
763	25876	7993
764	25910	7959
765	25943	7925
766	25977	7891
767	26012	7857
768	26047	7824
769	26082	7790
770	26118	7757
771	26152	7723
772	26195	7692
773	26237	7661
774	26279	7629
775	26316	7596
776	26352	7563
777	26386	7529
778	26421	7495
779	26456	7461
780	26490	7428
781	26524	7394
782	26559	7360
783	26595	7327
784	26638	7295
785	26685	7265
786	26726	7233
787	26763	7200
788	26798	7166
789	26835	7133
790	26876	7101
791	26917	7069
792	26952	7035
793	26987	7001
794	27022	6968
795	27058	6934
796	27094	6901
797	27129	6867
798	27164	6833
799	27199	6799
800	27234	6766
801	27276	6734
802	27322	6703
803	27368	6671
804	27406	6638
805	27442	6605
806	27477	6571
807	27514	6537
808	27550	6504
809	27585	6470
810	27622	6437
811	27659	6403
812	27695	6370
813	27736	6337
814	27783	6306
815	27827	6274
816	27865	6241
817	27902	6208
818	27936	6174
819	27972	6140
820	28007	6106
821	28043	6072
822	28080	6039
823	28117	6005
824	28153	5971
825	28192	5938
826	28235	5906
827	28279	5874
828	28321	5841
829	28357	5808
830	28393	5774
831	28428	5740
832	28465	5706
833	28506	5674
834	28543	5640
835	28579	5606
836	28617	5573
837	28653	5539
838	28690	5505
839	28738	5474
840	28783	5441
841	28826	5409
842	28863	5375
843	28899	5341
844	28935	5307
845	28970	5273
846	29006	5239
847	29041	5205
848	29076	5171
849	29111	5137
850	29148	5103
851	29188	5070
852	29233	5037
853	29271	5004
854	29306	4970
855	29342	4936
856	29377	4901
857	29411	4867
858	29447	4833
859	29483	4799
860	29518	4765
861	29556	4731
862	29599	4698
863	29645	4666
864	29687	4633
865	29722	4599
866	29757	4564
867	29792	4530
868	29827	4496
869	29867	4462
870	29909	4429
871	29946	4395
872	29981	4361
873	30017	4327
874	30053	4293
875	30089	4259
876	30125	4225
877	30159	4190
878	30194	4156
879	30229	4122
880	30265	4088
881	30310	4055
882	30353	4021
883	30398	3988
884	30434	3954
885	30470	3920
886	30505	3886
887	30541	3852
888	30577	3817
889	30613	3783
890	30648	3749
891	30682	3714
892	30719	3680
893	30762	3647
894	30807	3614
895	30846	3580
896	30883	3546
897	30918	3511
898	30954	3477
899	30991	3443
900	31028	3409
901	31063	3374
902	31098	3340
903	31133	3306
904	31168	3271
905	31207	3237
906	31251	3204
907	31292	3170
908	31337	3137
909	31376	3103
910	31411	3068
911	31447	3034
912	31482	2999
913	31517	2965
914	31554	2931
915	31590	2896
916	31624	2862
917	31659	2827
918	31698	2793
919	31745	2760
920	31787	2726
921	31828	2692
922	31865	2658
923	31906	2624
924	31942	2589
925	31978	2555
926	32013	2521
927	32048	2486
928	32084	2452
929	32119	2417
930	32153	2383
931	32190	2348
932	32226	2314
933	32269	2280
934	32313	2246
935	32358	2212
936	32402	2178
937	32437	2144
938	32472	2109
939	32508	2075
940	32544	2040
941	32581	2006
